category,package,name_on_pypi,snapshot_label,snapshot_date,selected_version,release_date,status,package_norm,name_on_pypi_norm,snapshot_order,is_missing_at_snapshot,is_released_at_snapshot,is_stable_version,is_usable_snapshot
Model Runtime,accelerate,accelerate,2025_end,2025-12-31,1.12.0,2025-11-21 11:27:44.522811+00:00,ok,accelerate,accelerate,4,False,True,True,True
Model Runtime,accelerate,accelerate,2026_current,2026-06-16,1.14.0,2026-06-11 13:45:50.477469+00:00,ok,accelerate,accelerate,5,False,True,True,True
Model Runtime,bitsandbytes,bitsandbytes,2022_end,2022-12-31,0.35.4,2022-11-01 01:34:04.986346+00:00,ok,bitsandbytes,bitsandbytes,1,False,True,True,True
Model Runtime,bitsandbytes,bitsandbytes,2023_end,2023-12-31,0.41.3.post2,2023-12-11 22:34:46.739410+00:00,ok,bitsandbytes,bitsandbytes,2,False,True,True,True
Model Runtime,bitsandbytes,bitsandbytes,2024_end,2024-12-31,0.45.0,2024-12-05 16:05:19.724762+00:00,ok,bitsandbytes,bitsandbytes,3,False,True,True,True
Model Runtime,bitsandbytes,bitsandbytes,2025_end,2025-12-31,0.49.0,2025-12-11 20:50:39.645957+00:00,ok,bitsandbytes,bitsandbytes,4,False,True,True,True
Model Runtime,bitsandbytes,bitsandbytes,2026_current,2026-06-16,0.49.2,2026-02-16 21:26:04.572106+00:00,ok,bitsandbytes,bitsandbytes,5,False,True,True,True
Model Runtime,datasets,datasets,2022_end,2022-12-31,2.8.0,2022-12-19 10:53:05.657318+00:00,ok,datasets,datasets,1,False,True,True,True
Model Runtime,datasets,datasets,2023_end,2023-12-31,2.16.1,2023-12-30 16:45:45.158960+00:00,ok,datasets,datasets,2,False,True,True,True
Model Runtime,datasets,datasets,2024_end,2024-12-31,3.2.0,2024-12-10 16:56:34.742574+00:00,ok,datasets,datasets,3,False,True,True,True
Model Runtime,datasets,datasets,2025_end,2025-12-31,4.4.2,2025-12-19 15:03:07.087277+00:00,ok,datasets,datasets,4,False,True,True,True
Model Runtime,datasets,datasets,2026_current,2026-06-16,5.0.0,2026-06-05 13:18:24.435738+00:00,ok,datasets,datasets,5,False,True,True,True
Model Runtime,diffusers,diffusers,2022_end,2022-12-31,0.11.1,2022-12-20 16:29:48.941950+00:00,ok,diffusers,diffusers,1,False,True,True,True
Model Runtime,diffusers,diffusers,2023_end,2023-12-31,0.25.0,2023-12-27 13:46:53.888674+00:00,ok,diffusers,diffusers,2,False,True,True,True
Model Runtime,diffusers,diffusers,2024_end,2024-12-31,0.32.1,2024-12-25 12:21:28.797849+00:00,ok,diffusers,diffusers,3,False,True,True,True
Model Runtime,diffusers,diffusers,2025_end,2025-12-31,0.36.0,2025-12-08 10:14:31.979452+00:00,ok,diffusers,diffusers,4,False,True,True,True
Model Runtime,diffusers,diffusers,2026_current,2026-06-16,0.38.0,2026-05-01 05:42:12.779447+00:00,ok,diffusers,diffusers,5,False,True,True,True
Model Runtime,huggingface-hub,huggingface-hub,2022_end,2022-12-31,0.11.1,2022-11-28 10:37:33.951066+00:00,ok,huggingface-hub,huggingface-hub,1,False,True,True,True
Model Runtime,huggingface-hub,huggingface-hub,2023_end,2023-12-31,0.20.1,2023-12-20 11:44:43.497156+00:00,ok,huggingface-hub,huggingface-hub,2,False,True,True,True
Model Runtime,huggingface-hub,huggingface-hub,2024_end,2024-12-31,0.27.0,2024-12-16 13:13:32.181354+00:00,ok,huggingface-hub,huggingface-hub,3,False,True,True,True
Model Runtime,huggingface-hub,huggingface-hub,2025_end,2025-12-31,1.2.3,2025-12-12 15:31:40.339464+00:00,ok,huggingface-hub,huggingface-hub,4,False,True,True,True
Model Runtime,huggingface-hub,huggingface-hub,2026_current,2026-06-16,1.19.0,2026-06-11 12:33:16.695868+00:00,ok,huggingface-hub,huggingface-hub,5,False,True,True,True
Model Runtime,ollama,ollama,2022_end,2022-12-31,,,not_released_yet,ollama,ollama,1,True,False,False,False
Model Runtime,ollama,ollama,2023_end,2023-12-31,,,not_released_yet,ollama,ollama,2,True,False,False,False
Model Runtime,ollama,ollama,2024_end,2024-12-31,0.4.5,2024-12-29 23:11:33.327833+00:00,ok,ollama,ollama,3,False,True,True,True
Model Runtime,ollama,ollama,2025_end,2025-12-31,0.6.1,2025-11-13 23:02:16.292573+00:00,ok,ollama,ollama,4,False,True,True,True
Model Runtime,ollama,ollama,2026_current,2026-06-16,0.6.2,2026-04-29 21:21:13.794041+00:00,ok,ollama,ollama,5,False,True,True,True
Model Runtime,peft,peft,2022_end,2022-12-31,,,not_released_yet,peft,peft,1,True,False,False,False
Model Runtime,peft,peft,2023_end,2023-12-31,0.7.1,2023-12-12 17:07:20.093796+00:00,ok,peft,peft,2,False,True,True,True
Model Runtime,peft,peft,2024_end,2024-12-31,0.14.0,2024-12-06 11:37:41.602895+00:00,ok,peft,peft,3,False,True,True,True
Model Runtime,peft,peft,2025_end,2025-12-31,0.18.0,2025-11-13 11:13:03.664194+00:00,ok,peft,peft,4,False,True,True,True
Model Runtime,peft,peft,2026_current,2026-06-16,0.19.1,2026-04-16 15:46:42.886694+00:00,ok,peft,peft,5,False,True,True,True
Model Runtime,safetensors,safetensors,2022_end,2022-12-31,0.2.7,2022-12-27 09:35:56.758007+00:00,ok,safetensors,safetensors,1,False,True,True,True
Model Runtime,safetensors,safetensors,2023_end,2023-12-31,0.4.1,2023-11-27 11:16:48.265471+00:00,ok,safetensors,safetensors,2,False,True,True,True
Model Runtime,safetensors,safetensors,2024_end,2024-12-31,0.4.5,2024-09-05 13:46:21.792488+00:00,ok,safetensors,safetensors,3,False,True,True,True
Model Runtime,safetensors,safetensors,2025_end,2025-12-31,0.7.0,2025-11-19 15:18:09.790508+00:00,ok,safetensors,safetensors,4,False,True,True,True
